id	moloney
Tb927.11.840	Secretory/Endocytic 2
Tb927.11.870	Mitochondrion - Matrix 1
Tb927.11.880	Cytosol
Tb927.11.8970	Cytosol
Tb927.11.8980	Mitochondrion - Matrix 2
Tb927.11.9040	Cytosol
Tb927.11.9070	Secretory/Endocytic 1
Tb927.11.9080	Nucleus
Tb927.11.9130	Cytosol
Tb927.11.9140	Mitochondrion - Matrix 2
Tb927.11.9220	Proteasome Regulatory Particle
Tb927.11.9290	Microtubule Structures 2
Tb927.11.940	Mitochondrion - Matrix 2
Tb927.11.9440	Flagellum 1
Tb927.11.9530	Cytosol
Tb927.11.9590	Cytosol
Tb927.11.9910	Cytosol
Tb927.2.1700	Secretory/Endocytic 3
Tb927.2.1780	ER
Tb927.2.1810	Nucleus - Chromatin
Tb927.2.1850	Flagellum 1
Tb927.2.1860	Mitochondrion - Matrix 2
Tb927.2.1890	Cytosol
Tb927.2.1920	Secretory/Endocytic 1
Tb927.2.2090	Flagellum 1
Tb927.2.2160	Flagellum 1
Tb927.2.2440	Proteasome Regulatory Particle
Tb927.2.2470	Mitochondrion - Matrix 2
Tb927.2.2510	Mitochondrion - OM
Tb927.2.2670	Nucleus - Chromatin
Tb927.2.2950	Nucleus
Tb927.2.3020	Flagellum 1
Tb927.2.3080	ER
Tb927.2.3180	Mitochondrion - Matrix 2
Tb927.2.3320	Secretory/Endocytic 3
Tb927.2.3400	Nucleus
Tb927.2.3610	Mitochondrion - IM
Tb927.2.3800	Mitochondrion - Matrix 2
Tb927.2.4060	Flagellum 1
Tb927.2.4090	ER
Tb927.2.4130	Glycosomes
Tb927.2.4330	Flagellum 1
Tb927.2.4370	Cytosol
Tb927.2.4400	Mitochondrion - Matrix 1
Tb927.2.4580	Cytosol
Tb927.2.4810	Flagellum 1
Tb927.2.4850	Cytosol
Tb927.2.4890	Mitochondrion - Matrix 1
Tb927.2.4980	Nucleus
Tb927.2.5120	Secretory/Endocytic 1
Tb927.2.5130	Nucleus
Tb927.2.5150	Cytosol
Tb927.2.5160	Cytosol
Tb927.2.5270	Flagellum 1
Tb927.2.5660	Flagellum 1
Tb927.2.5800	Glycosomes
Tb927.2.6000	Secretory/Endocytic 3
Tb927.2.6070	Mitochondrion - Matrix 2
Tb927.2.6090	Ribonucleoproteins 1
Tb927.2.6280	Secretory/Endocytic 2
Tb927.3.1060	Flagellum 1
Tb927.3.1150	Cytosol
Tb927.3.1170	Cytosol
Tb927.3.1180	Mitochondrion - Matrix 2
Tb927.3.1350	Nucleus
Tb927.3.1380	Mitochondrion - IM
Tb927.3.1420	Microtubule Structures 1
Tb927.3.1690	Mitochondrion - IM
Tb927.3.1710	Mitochondrion - Matrix 1
Tb927.3.1770	Flagellum 1
Tb927.3.1800	Nucleus
Tb927.3.1820	Mitochondrion - Matrix 2
Tb927.3.1900	Flagellum 1
Tb927.3.2180	Mitochondrion - IM
Tb927.3.2220	Cytosol
Tb927.3.2310	Flagellum 1
Tb927.3.2410	Glycosomes
Tb927.3.2670	Mitochondrion - Matrix 2
Tb927.3.2680	Cytosol
Tb927.3.2750	Nucleus
Tb927.3.2880	Mitochondrion - IM
Tb927.3.2890	Flagellum 1
Tb927.3.2950	Flagellum 1
Tb927.3.2960	Cytosol
Tb927.3.3000	Intraflagellar Transport
Tb927.3.3200	Flagellum 1
Tb927.3.3270	Glycosomes
Tb927.3.3450	Cytosol
Tb927.3.3460	Mitochondrion - IM
Tb927.3.3490	Nucleus - Chromatin
Tb927.3.3560	Cytosol
Tb927.3.3590	Nucleus
Tb927.3.3670	Nucleus
Tb927.3.3690	Flagellum 1
Tb927.3.3750	Flagellum 1
Tb927.3.3990	Mitochondrion - Matrix 2
Tb927.3.4040	Cytosol
Tb927.3.4070	Secretory/Endocytic 2
Tb927.3.4080	Secretory/Endocytic 2
Tb927.3.4190	Secretory/Endocytic 1
Tb927.3.4380	Mitochondrion - OM
Tb927.3.4420	Glycosomes
Tb927.3.4500	Cytosol
Tb927.3.4570	ER
Tb927.3.4630	ER
Tb927.3.4640	Mitochondrion - OM
Tb927.3.4680	Cytosol
Tb927.3.4970	Flagellum 1
Tb927.3.5020	Flagellum 1
Tb927.3.5130	ER
Tb927.3.5160	Microtubule Structures 1
Tb927.3.5180	Cytosol
Tb927.3.5240	Mitochondrion - Matrix 1
Tb927.3.5340	Cytosol
Tb927.3.5430	ER
Tb927.3.5490	Intraflagellar Transport
Tb927.3.5520	Proteasome Regulatory Particle
Tb927.3.5610	Mitochondrion - Matrix 1
Tb927.3.620	Nucleus
Tb927.3.780	Proteasome
Tb927.3.800	Acidocalcisomes
Tb927.4.1020	ER
Tb927.4.1070	Mitochondrion - Matrix 1
Tb927.4.1090	Secretory/Endocytic 1
Tb927.4.1100	Ribonucleoproteins 1
Tb927.4.1220	Cytosol
Tb927.4.1270	Cytosol
Tb927.4.1330	Nucleus - Chromatin
Tb927.4.1500	Mitochondrion - Matrix 2
Tb927.4.1600	Glycosomes
Tb927.4.1740	Flagellum 1
Tb927.4.1810	Mitochondrion - Matrix 1
Tb927.4.1920	ER
Tb927.4.2000	Cytosol
Tb927.4.2040	Cytosol
Tb927.4.2140	Flagellum 1
Tb927.4.2240	Cytosol
Tb927.4.2350	Cytosol
Tb927.4.2400	Microtubule Structures 1
Tb927.4.2600	Flagellum 1
Tb927.4.2630	Nucleus
Tb927.4.3040	Secretory/Endocytic 2
Tb927.4.3160	Glycosomes
Tb927.4.3450	Mitochondrion - IM
Tb927.4.3590	Cytosol
Tb927.4.3670	Nucleus
Tb927.4.3840	Nucleus
Tb927.4.3850	Nucleus
Tb927.4.4050	Glycosomes
Tb927.4.4160	Mitochondrion - Matrix 2
Tb927.4.430	Proteasome
Tb927.4.4300	Mitochondrion - IM
Tb927.4.4340	Cytosol
Tb927.4.4350	ER
Tb927.4.4380	Acidocalcisomes
Tb927.4.4430	Secretory/Endocytic 3
Tb927.4.4440	Secretory/Endocytic 3
Tb927.4.4490	Secretory/Endocytic 1
Tb927.4.4600	Mitochondrion - Matrix 1
Tb927.4.4700	Flagellum 1
Tb927.4.4730	Secretory/Endocytic 2
Tb927.4.4870	Secretory/Endocytic 2
Tb927.4.4950	Nucleus
Tb927.4.4960	Acidocalcisomes
Tb927.4.5010	ER
Tb927.4.5100	Secretory/Endocytic 1
Tb927.4.590	ER
Tb927.4.670	Flagellum 1
Tb927.4.720	Mitochondrion - IM
Tb927.4.870	Flagellum 1
Tb927.4.930	Mitochondrion - Matrix 1
Tb927.5.1140	Cytosol
Tb927.5.1210	ER
Tb927.5.1390	Secretory/Endocytic 3
Tb927.5.1410	Secretory/Endocytic 3
Tb927.5.1430	Secretory/Endocytic 3
Tb927.5.1460	Cytosol
Tb927.5.1510	Mitochondrion - Matrix 1
Tb927.5.1680	Flagellum 1
Tb927.5.1690	Flagellum 1
Tb927.5.1710	Mitochondrion - IM
Tb927.5.1790	Mitochondrion - Matrix 1
Tb927.5.1810	Secretory/Endocytic 1
Tb927.5.1900	Flagellum 1
Tb927.5.1930	ER
Tb927.5.1940	Flagellum 1
Tb927.5.2080	Glycosomes
Tb927.5.2100	Mitochondrion - Matrix 2
Tb927.5.2260	Cytosol
Tb927.5.2270	Flagellum 1
Tb927.5.2500	Microtubule Structures 2
Tb927.5.2520	Cytosol
Tb927.5.2530	Nucleus
Tb927.5.2570	Ribonucleoproteins 1
Tb927.5.2720	Cytosol
Tb927.5.2850	Flagellum 1
Tb927.5.2930	Mitochondrion - IM
Tb927.5.2940	Cytosol
Tb927.5.2950	Flagellum 1
Tb927.5.3010	Mitochondrion - Matrix 2
Tb927.5.3090	Mitochondrion - IM
Tb927.5.3110	Mitochondrion - Matrix 1
Tb927.5.3170	Cytosol
Tb927.5.3410	Mitochondrion - Matrix 1
Tb927.5.3680	ER
Tb927.5.3710	ER
Tb927.5.3820	Cytosol
Tb927.5.3830	Cytosol
Tb927.5.3860	Microtubule Structures 2
Tb927.5.3960	Cytosol
Tb927.5.3980	Mitochondrion - Matrix 1
Tb927.5.4020	Secretory/Endocytic 3
Tb927.5.4040	Mitochondrion - Matrix 1
Tb927.5.4150	Flagellum 1
Tb927.5.4250	Nucleus - Chromatin
Tb927.5.4270	Nucleus
Tb927.5.430	Secretory/Endocytic 1
Tb927.5.4340	Microtubule Structures 1
Tb927.5.610	Secretory/Endocytic 1
Tb927.5.950	Cytosol
Tb927.6.1020	Secretory/Endocytic 1
Tb927.6.1040	Secretory/Endocytic 1
Tb927.6.1090	Proteasome Regulatory Particle
Tb927.6.1200	Mitochondrion - Matrix 2
Tb927.6.1220	Microtubule Structures 1
Tb927.6.1250	Mitochondrion - Matrix 1
Tb927.6.1500	Glycosomes
Tb927.6.1520	Secretory/Endocytic 2
Tb927.6.1660	Flagellum 1
Tb927.6.1680	Mitochondrion - Matrix 2
Tb927.6.1800	Cytosol
Tb927.6.1830	Nucleus
Tb927.6.1990	Cytosol
Tb927.6.200	Secretory/Endocytic 3
Tb927.6.2000	Nucleus
Tb927.6.2050	Nucleus
Tb927.6.2080	Mitochondrion - Matrix 1
Tb927.6.2140	Mitochondrion - Matrix 2
Tb927.6.2230	Mitochondrion - Matrix 2
Tb927.6.2270	Cytosol
Tb927.6.2490	Mitochondrion - IM
Tb927.6.2650	Nucleus
Tb927.6.2720	Flagellum 1
Tb927.6.2740	Cytosol
Tb927.6.2780	Nucleus
Tb927.6.2860	Cytosol
Tb927.6.3100	Intraflagellar Transport
Tb927.6.3150	Flagellum 1
Tb927.6.3630	Mitochondrion - OM
Tb927.6.3670	Flagellum 1
Tb927.6.3970	Microtubule Structures 1
Tb927.6.400	Cytosol
Tb927.6.4000	Cytosol
Tb927.6.4040	Mitochondrion - Matrix 1
Tb927.6.4130	Mitochondrion - IM
Tb927.6.4210	ER
Tb927.6.4300	Glycosomes
Tb927.6.440	Secretory/Endocytic 1
Tb927.6.4500	ER
Tb927.6.4520	Flagellum 1
Tb927.6.4610	Flagellum 1
Tb927.6.4630	Acidocalcisomes
Tb927.6.4650	Cytosol
Tb927.6.4760	Cytosol
Tb927.6.4840	Cytosol
Tb927.6.4930	Mitochondrion - Matrix 1
Tb927.6.4990	Mitochondrion - IM
Tb927.6.5030	Flagellum 1
Tb927.6.560	Secretory/Endocytic 1
Tb927.6.590	Mitochondrion - IM
Tb927.6.630	Nucleus
Tb927.6.720	Ribonucleoproteins 1
Tb927.6.800	Secretory/Endocytic 3
Tb927.6.930	Secretory/Endocytic 3
Tb927.6.940	Secretory/Endocytic 3
Tb927.7.1060	Nucleus - Chromatin
Tb927.7.1110	Cytosol
Tb927.7.1120	Cytosol
Tb927.7.1300	ER
Tb927.7.1430	Flagellum 1
Tb927.7.1500	Cytosol
Tb927.7.1550	Mitochondrion - Matrix 2
Tb927.7.1560	Flagellum 1
Tb927.7.1720	Mitochondrion - Matrix 2
Tb927.7.1780	Cytosol
Tb927.7.1920	Flagellum 1
Tb927.7.2100	Cytosol
Tb927.7.2190	ER
Tb927.7.2320	Flagellum 1
Tb927.7.2550	Proteasome Regulatory Particle
Tb927.7.270	Nucleus
Tb927.7.2730	Flagellum 1
Tb927.7.2760	Mitochondrion - Matrix 1
Tb927.7.2790	Flagellum 1
Tb927.7.2910	Nucleus - Chromatin
Tb927.7.2980	Cytosol
Tb927.7.3050	Mitochondrion - Matrix 1
Tb927.7.3130	Microtubule Structures 1
Tb927.7.3240	Mitochondrion - Matrix 1
Tb927.7.3370	Intraflagellar Transport
Tb927.7.3560	Flagellum 1
Tb927.7.3580	Flagellum 1
Tb927.7.3590	Mitochondrion - IM
Tb927.7.3640	Nucleus
Tb927.7.3740	Flagellum 1
Tb927.7.3780	Nucleus
Tb927.7.3900	Acidocalcisomes
Tb927.7.4000	Cytosol
Tb927.7.4020	Flagellum 1
Tb927.7.4100	Flagellum 1
Tb927.7.4140	Mitochondrion - Matrix 1
Tb927.7.4220	Nucleus
Tb927.7.4230	Secretory/Endocytic 3
Tb927.7.4260	Secretory/Endocytic 3
Tb927.7.4290	Cytosol
Tb927.7.4340	Nucleus
Tb927.7.4390	Cytosol
Tb927.7.4420	Proteasome
Tb927.7.4450	Nucleus
Tb927.7.4460	Flagellum 1
Tb927.7.4510	Flagellum 1
Tb927.7.4710	Mitochondrion - Matrix 1
Tb927.7.5580	Cytosol
Tb927.7.5660	Flagellum 1
Tb927.7.5840	ER
Tb927.7.5910	Cytosol
Tb927.7.5940	Secretory/Endocytic 2
Tb927.7.6260	ER
Tb927.7.6280	Flagellum 1
Tb927.7.6290	Flagellum 1
Tb927.7.6360	Nucleus - Chromatin
Tb927.7.650	Nucleus
Tb927.7.6640	Flagellum 1
Tb927.7.6770	Cytosol
Tb927.7.6830	Secretory/Endocytic 2
Tb927.7.6850	Secretory/Endocytic 2
Tb927.7.6980	Nucleus
Tb927.7.700	Nucleus
Tb927.7.7040	Cytosol
Tb927.7.710	Cytosol
Tb927.7.7240	Flagellum 1
Tb927.7.7250	Flagellum 1
Tb927.7.7270	Microtubule Structures 1
Tb927.7.7280	Nucleus
