id	lilley	christoforou
Q9CQU0	ER	ERGIC
Q9CQV1	Mitochondrion	Mitochondrion
Q9CQV7	Mitochondrion	Mitochondrion
Q9CQZ5	Mitochondrion	Mitochondrion
Q9CR20	ER	ERGIC
Q9CR47	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9CR57	60S Ribosome	60S Ribosome
Q9CR62	Mitochondrion	Mitochondrion
Q9CR68	Mitochondrion	Mitochondrion
Q9CR98	Mitochondrion	Mitochondrion
Q9CRB2	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9CRB9	Mitochondrion	Mitochondrion
Q9CU62	Nucleus - Chromatin
Q9CWE0	Mitochondrion	Mitochondrion
Q9CWG8	Mitochondrion	Mitochondrion
Q9CWH0	Nucleus - Chromatin	Nucleus - Chromatin
Q9CWR7	Endosome	Endosome
Q9CWX2	Mitochondrion	Mitochondrion
Q9CWX9	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9CX56	Proteasome	Proteasome
Q9CXC3	Mitochondrion	Mitochondrion
Q9CXF7	Nucleus - Chromatin	Nucleus - Chromatin
Q9CXI0	Mitochondrion	Mitochondrion
Q9CXJ1	Mitochondrion	Mitochondrion
Q9CXK8	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9CXT8	Mitochondrion	Mitochondrion
Q9CXW2	Mitochondrion	Mitochondrion
Q9CXW4	60S Ribosome	60S Ribosome
Q9CXZ1	Mitochondrion	Mitochondrion
Q9CY16	Mitochondrion	Mitochondrion
Q9CY27	ER	ERGIC
Q9CY66-3	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9CY73	Mitochondrion	Mitochondrion
Q9CYF5	Mitochondrion	Mitochondrion
Q9CYH6	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9CYL5	Golgi
Q9CZ13	Mitochondrion	Mitochondrion
Q9CZ42-3	Mitochondrion	Mitochondrion
Q9CZ57	Mitochondrion	Mitochondrion
Q9CZB0	Mitochondrion	Mitochondrion
Q9CZJ1	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9CZM2	60S Ribosome	60S Ribosome
Q9CZN8	Mitochondrion	Mitochondrion
Q9CZR8	Mitochondrion	Mitochondrion
Q9CZS1	Mitochondrion	Mitochondrion
Q9CZU3	Nucleus - Non-Chromatin
Q9CZU4	Mitochondrion	Mitochondrion
Q9CZU6	Mitochondrion	Mitochondrion
Q9CZW5	Mitochondrion
Q9CZX8	40S Ribosome	40S Ribosome
Q9D051	Mitochondrion	Mitochondrion
Q9D0D3	Mitochondrion	Mitochondrion
Q9D0F3		ERGIC
Q9D0G0	Mitochondrion	Mitochondrion
Q9D0K2	Mitochondrion	Mitochondrion
Q9D0M3-2	Mitochondrion	Mitochondrion
Q9D0Q7	Mitochondrion	Mitochondrion
Q9D0R4	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9D0S9	Mitochondrion	Mitochondrion
Q9D0T1	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9D125	Mitochondrion	Mitochondrion
Q9D172	Mitochondrion	Mitochondrion
Q9D1A2	Cytosol	Cytosol
Q9D1B9	Mitochondrion	Mitochondrion
Q9D1H6	Mitochondrion	Mitochondrion
Q9D1H8	Mitochondrion	Mitochondrion
Q9D1I6	Mitochondrion	Mitochondrion
Q9D1L0	Mitochondrion	Mitochondrion
Q9D1N9	Mitochondrion	Mitochondrion
Q9D1P0	Mitochondrion	Mitochondrion
Q9D1Q6	ER	ERGIC
Q9D1R9	60S Ribosome	60S Ribosome
Q9D287	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9D2G2	Mitochondrion	Mitochondrion
Q9D2R6	Mitochondrion	Mitochondrion
Q9D338	Mitochondrion	Mitochondrion
Q9D3D9	Mitochondrion	Mitochondrion
Q9D3E6	Nucleus - Chromatin	Nucleus - Chromatin
Q9D6J6	Mitochondrion	Mitochondrion
Q9D6M3	Mitochondrion	Mitochondrion
Q9D6R2	Mitochondrion
Q9D6S7	Mitochondrion	Mitochondrion
Q9D6Z1	Nucleus - Non-Chromatin
Q9D773	Mitochondrion	Mitochondrion
Q9D7B6	Mitochondrion	Mitochondrion
Q9D7N3	Mitochondrion	Mitochondrion
Q9D7P6	Mitochondrion	Mitochondrion
Q9D7Z3	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9D823	60S Ribosome	60S Ribosome
Q9D826	Peroxisome	Peroxisome
Q9D855	Mitochondrion	Mitochondrion
Q9D880	Mitochondrion	Mitochondrion
Q9D8B4	Mitochondrion	Mitochondrion
Q9D8E6	60S Ribosome
Q9D8T7	Mitochondrion	Mitochondrion
Q9D8W5	Proteasome	Proteasome
Q9D903	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9D924	Mitochondrion	Mitochondrion
Q9DAT5	Mitochondrion	Mitochondrion
Q9DAU1	ER	ERGIC
Q9DB15	Mitochondrion	Mitochondrion
Q9DB20	Mitochondrion	Mitochondrion
Q9DB73	Mitochondrion	Mitochondrion
Q9DB77	Mitochondrion	Mitochondrion
Q9DB85	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9DBE9	Nucleus - Non-Chromatin
Q9DBG6	ER
Q9DBG7	ER
Q9DBL1	Mitochondrion	Mitochondrion
Q9DBN5	Peroxisome	Peroxisome
Q9DBR1	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9DBY1	ER	ERGIC
Q9DC16		ERGIC
Q9DC23	ER
Q9DC61	Mitochondrion	Mitochondrion
Q9DC69	Mitochondrion	Mitochondrion
Q9DC70	Mitochondrion	Mitochondrion
Q9DC71	Mitochondrion	Mitochondrion
Q9DCA2	Mitochondrion	Mitochondrion
Q9DCA5	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9DCB8	Mitochondrion	Mitochondrion
Q9DCC8	Mitochondrion	Mitochondrion
Q9DCD0	Cytosol
Q9DCI3	Endosome	Endosome
Q9DCJ9	Cytosol	Cytosol
Q9DCM0	Mitochondrion	Mitochondrion
Q9DCS3	Mitochondrion	Mitochondrion
Q9DCS9	Mitochondrion	Mitochondrion
Q9DCT2	Mitochondrion	Mitochondrion
Q9DCU6	Mitochondrion	Mitochondrion
Q9DCW4	Mitochondrion	Mitochondrion
Q9DCX2	Mitochondrion	Mitochondrion
Q9EP89	Mitochondrion	Mitochondrion
Q9EPK6	ER	ERGIC
Q9EQ20	Mitochondrion	Mitochondrion
Q9EQH2	ER	ERGIC
Q9EQI8	Mitochondrion	Mitochondrion
Q9ER64	ER
Q9ER74	Nucleus - Chromatin	Nucleus - Chromatin
Q9ER88	Mitochondrion	Mitochondrion
Q9ERR7	ER
Q9ESP1	ER	ERGIC
Q9ESW4	Mitochondrion	Mitochondrion
Q9ESX5	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9ET22	Lysosome	Lysosome
Q9JHI5	Mitochondrion	Mitochondrion
Q9JHS4	Mitochondrion
Q9JHU102		PM
Q9JHU103		Mitochondrion
Q9JHU110		Mitochondrion
Q9JHU111		ERGIC
Q9JHU114		Nucleus - Chromatin
Q9JHU118		Cytosol
Q9JHU119		Nucleus - Chromatin
Q9JHU121		ERGIC
Q9JHU122		60S Ribosome
Q9JHU124		PM
Q9JHU13		ERGIC
Q9JHU131		Nucleus - Non-Chromatin
Q9JHU134		PM
Q9JHU137		PM
Q9JHU140		Nucleus - Chromatin
Q9JHU142		ERGIC
Q9JHU144		PM
Q9JHU148		ERGIC
Q9JHU15		Mitochondrion
Q9JHU150		Mitochondrion
Q9JHU155		PM
Q9JHU158		Mitochondrion
Q9JHU17		ECM
Q9JHU170		ECM
Q9JHU174		PM
Q9JHU176		Cytosol
Q9JHU177		Mitochondrion
Q9JHU18		Nucleus - Chromatin
Q9JHU180		Mitochondrion
Q9JHU184		Mitochondrion
Q9JHU188		PM
Q9JHU19		ECM
Q9JHU195		Nucleus - Chromatin
Q9JHU198		Nucleus - Non-Chromatin
Q9JHU203		Mitochondrion
Q9JHU205		Mitochondrion
Q9JHU21		Cytosol
Q9JHU211		Mitochondrion
Q9JHU217		Nucleus - Non-Chromatin
Q9JHU218		ECM
Q9JHU219		Endosome
Q9JHU223		Nucleus - Chromatin
Q9JHU224		ECM
Q9JHU226		Mitochondrion
Q9JHU227		Mitochondrion
Q9JHU228		ERGIC
Q9JHU229		PM
Q9JHU23		PM
Q9JHU230		Mitochondrion
Q9JHU231		Actin Cytoskeleton
Q9JHU232		Nucleus - Non-Chromatin
Q9JHU234		PM
Q9JHU236		Mitochondrion
Q9JHU244		ERGIC
Q9JHU25		PM
Q9JHU253		Actin Cytoskeleton
Q9JHU254		Nucleus - Chromatin
Q9JHU256		Cytosol
Q9JHU257		60S Ribosome
Q9JHU260		Mitochondrion
Q9JHU262		Lysosome
Q9JHU263		ERGIC
Q9JHU264		Endosome
Q9JHU265		Mitochondrion
Q9JHU268		Nucleus - Chromatin
Q9JHU269		Mitochondrion
Q9JHU270		60S Ribosome
Q9JHU271		Mitochondrion
Q9JHU272		Mitochondrion
Q9JHU273		60S Ribosome
Q9JHU274		Mitochondrion
Q9JHU28		Nucleus - Non-Chromatin
Q9JHU282		ERGIC
Q9JHU283		Nucleus - Chromatin
Q9JHU286		Nucleus - Chromatin
Q9JHU287		Mitochondrion
Q9JHU288		ERGIC
Q9JHU292		Endosome
Q9JHU296		PM
Q9JHU298		Nucleus - Non-Chromatin
Q9JHU299		Nucleus - Chromatin
Q9JHU303		Nucleus - Chromatin
Q9JHU304		Mitochondrion
Q9JHU305		ERGIC
Q9JHU307		Cytosol
Q9JHU309		ERGIC
Q9JHU310		Lysosome
Q9JHU312		Cytosol
Q9JHU313		Cytosol
Q9JHU314		60S Ribosome
Q9JHU315		Mitochondrion
Q9JHU318		Nucleus - Non-Chromatin
Q9JHU319		Mitochondrion
Q9JHU32		Nucleus - Chromatin
Q9JHU320		Peroxisome
Q9JHU322		PM
Q9JHU325		PM
Q9JHU329		ERGIC
Q9JHU33		ERGIC
Q9JHU333		Mitochondrion
Q9JHU336		Nucleus - Chromatin
Q9JHU342		ERGIC
Q9JHU343		Cytosol
Q9JHU345		Mitochondrion
Q9JHU347		40S Ribosome
Q9JHU350		ERGIC
Q9JHU353		PM
Q9JHU354		Mitochondrion
Q9JHU356		Nucleus - Non-Chromatin
Q9JHU357		Mitochondrion
Q9JHU359		Mitochondrion
Q9JHU361		PM
Q9JHU362		Proteasome
Q9JHU363		Cytosol
Q9JHU364		Nucleus - Non-Chromatin
Q9JHU37		Nucleus - Non-Chromatin
Q9JHU373		PM
Q9JHU374		Lysosome
Q9JHU379		Mitochondrion
Q9JHU381		Endosome
Q9JHU385		Mitochondrion
Q9JHU387		Cytosol
Q9JHU401		Actin Cytoskeleton
Q9JHU403		Cytosol
Q9JHU407		Mitochondrion
Q9JHU408		Mitochondrion
Q9JHU409		Mitochondrion
Q9JHU410		Mitochondrion
Q9JHU411		Proteasome
Q9JHU416		Mitochondrion
Q9JHU421		Mitochondrion
Q9JHU423		Nucleus - Non-Chromatin
Q9JHU427		Nucleus - Non-Chromatin
Q9JHU428		ERGIC
Q9JHU429		Cytosol
Q9JHU431		Endosome
Q9JHU434		Proteasome
Q9JHU436		ERGIC
Q9JHU440		Nucleus - Chromatin
Q9JHU448		Nucleus - Chromatin
Q9JHU454		Lysosome
Q9JHU459		Mitochondrion
Q9JHU461		Actin Cytoskeleton
Q9JHU462		Mitochondrion
Q9JHU466		Lysosome
Q9JHU47		PM
Q9JHU470		Nucleus - Non-Chromatin
Q9JHU473		ERGIC
Q9JHU478		Mitochondrion
Q9JHU486		Proteasome
Q9JHU489		Nucleus - Non-Chromatin
Q9JHU49		Nucleus - Chromatin
Q9JHU490		Mitochondrion
Q9JHU50		Mitochondrion
Q9JHU501		Peroxisome
Q9JHU505		ERGIC
Q9JHU507		Mitochondrion
Q9JHU509		Nucleus - Chromatin
Q9JHU51		ECM
Q9JHU513		Mitochondrion
Q9JHU516		PM
Q9JHU517		ERGIC
Q9JHU519		Mitochondrion
Q9JHU52		Nucleus - Non-Chromatin
Q9JHU521		Nucleus - Non-Chromatin
Q9JHU522		ERGIC
Q9JHU524		Mitochondrion
Q9JHU527		Nucleus - Chromatin
Q9JHU530		Nucleus - Chromatin
Q9JHU531		PM
Q9JHU532		40S Ribosome
Q9JHU534		Cytosol
Q9JHU536		ERGIC
Q9JHU537		Mitochondrion
Q9JHU539		Mitochondrion
Q9JHU541		ERGIC
Q9JHU545		Mitochondrion
Q9JHU553		40S Ribosome
Q9JHU559		ERGIC
Q9JHU560		PM
Q9JHU563		Proteasome
Q9JHU572		Mitochondrion
Q9JHU575		Nucleus - Non-Chromatin
Q9JHU576		ERGIC
Q9JHU577		Mitochondrion
Q9JHU58		ERGIC
Q9JHU581		Mitochondrion
Q9JHU582		60S Ribosome
Q9JHU587		40S Ribosome
Q9JHU589		Cytosol
Q9JHU594		ERGIC
Q9JHU596		Nucleus - Non-Chromatin
Q9JHU597		Mitochondrion
Q9JHU599		PM
Q9JHU603		Mitochondrion
Q9JHU604		Proteasome
Q9JHU605		60S Ribosome
Q9JHU607		Mitochondrion
Q9JHU61		PM
Q9JHU610		Mitochondrion
Q9JHU612		Nucleus - Non-Chromatin
Q9JHU64		Mitochondrion
Q9JHU65		ERGIC
Q9JHU66		Cytosol
Q9JHU7		Actin Cytoskeleton
Q9JHU77		ERGIC
Q9JHU83		ERGIC
Q9JHU85		Actin Cytoskeleton
Q9JHU86		ERGIC
Q9JHU88		ERGIC
Q9JHU92		PM
Q9JHU93		Mitochondrion
Q9JHU94		PM
Q9JHU97		Mitochondrion
Q9JHU98		ERGIC
Q9JHU99		PM
Q9JIK5	Nucleus - Non-Chromatin
Q9JIQ3	Mitochondrion	Mitochondrion
Q9JJ80	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9JJG9	Mitochondrion	Mitochondrion
Q9JJI8	60S Ribosome	60S Ribosome
Q9JJL8	Mitochondrion	Mitochondrion
Q9JJT0	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9JK30	Nucleus - Chromatin	Nucleus - Chromatin
Q9JKA5	PM	PM
Q9JKB1	Cytosol	Cytosol
Q9JKF1	PM
Q9JKF7	Mitochondrion	Mitochondrion
Q9JKR6	ER
Q9JKV1	Proteasome	Proteasome
Q9JKX4	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9JLF6	PM	PM
Q9JLZ3	Mitochondrion	Mitochondrion
Q9QUM9	Proteasome	Proteasome
Q9QWF0	Nucleus - Chromatin	Nucleus - Chromatin
Q9QWR8	Lysosome	Lysosome
Q9QXT0	ER	ERGIC
Q9QXX4	Mitochondrion
Q9QYA2	Mitochondrion	Mitochondrion
Q9QYE6	Golgi
Q9QYF1	ER	ERGIC
Q9QYL7	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9QZ23	Mitochondrion	Mitochondrion
Q9QZQ1-2	PM
Q9QZQ8	Nucleus - Chromatin	Nucleus - Chromatin
Q9R013	Lysosome	Lysosome
Q9R069	PM
Q9R0B9	ER	ERGIC
Q9R0E1	ER	ERGIC
Q9R0E2	ER
Q9R0K7	PM	PM
Q9R0N0	Cytosol	Cytosol
Q9R0X4	Mitochondrion
Q9R1P0	Proteasome	Proteasome
Q9R1P1	Proteasome	Proteasome
Q9R1P3	Proteasome	Proteasome
Q9R1P4	Proteasome	Proteasome
Q9WTK3	ER	ERGIC
Q9WTQ8	Mitochondrion	Mitochondrion
Q9WU79	Mitochondrion	Mitochondrion
Q9WUM3	Actin Cytoskeleton	Actin Cytoskeleton
Q9WUM5	Mitochondrion	Mitochondrion
Q9WUR9	Mitochondrion	Mitochondrion
Q9WUU7	Lysosome	Lysosome
Q9WUV0	Nucleus - Chromatin	Nucleus - Chromatin
Q9WV54	Lysosome
Q9WV68	Peroxisome	Peroxisome
Q9WV70	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9WV98	Mitochondrion	Mitochondrion
Q9WVA2	Mitochondrion	Mitochondrion
Q9WVD5	Mitochondrion	Mitochondrion
Q9WVJ2	Proteasome
Q9Z0J0	Lysosome	Lysosome
Q9Z0V7	Mitochondrion	Mitochondrion
Q9Z0V8	Mitochondrion	Mitochondrion
Q9Z0X1	Mitochondrion
Q9Z1N2	Nucleus - Chromatin
Q9Z1P6	Mitochondrion	Mitochondrion
Q9Z1X4	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9Z210	Peroxisome	Peroxisome
Q9Z222	Golgi
Q9Z247	ER
Q9Z277	Nucleus - Chromatin
Q9Z2I0	Mitochondrion	Mitochondrion
Q9Z2I8	Mitochondrion
Q9Z2I9	Mitochondrion
Q9Z2L6	ER	ERGIC
Q9Z2Q2	Nucleus - Non-Chromatin	Nucleus - Non-Chromatin
Q9Z2Q5	Mitochondrion	Mitochondrion
Q9Z2U0	Proteasome	Proteasome
Q9Z2U1	Proteasome	Proteasome
Q9Z2Z6	Mitochondrion	Mitochondrion
